14:00:01.000000 IP 192.168.1.5.12345 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:01.100000 IP 10.0.0.1.80 > 192.168.1.5.12345: Flags [S.], seq 0, ack 1, win 5792, length 0
14:00:01.200000 IP 192.168.1.5.12345 > 10.0.0.1.80: Flags [.], ack 1, win 512, length 0
14:00:02.000000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.100000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.200000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.300000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.400000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.500000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.600000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.700000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.800000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:02.900000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
14:00:03.000000 IP 203.0.113.99.54321 > 10.0.0.1.80: Flags [S], seq 0, win 5792, length 0
