"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=1/256, ttl=64"
"2","0.000100","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=2/256, ttl=64"
"3","0.000200","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=3/256, ttl=64"
"4","0.000300","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=4/256, ttl=64"
"5","0.000400","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=5/256, ttl=64"
"6","0.000500","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=6/256, ttl=64"
"7","0.000600","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=7/256, ttl=64"
"8","0.000700","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=8/256, ttl=64"
"9","0.000800","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=9/256, ttl=64"
"10","0.000900","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=10/256, ttl=64"
"11","0.001000","192.168.1.110","10.0.0.1","ICMP","98","Echo (ping) request id=0x0001, seq=11/256, ttl=64"
