"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.105","10.0.0.1","TCP","66","50001 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"2","0.000150","192.168.1.105","10.0.0.1","TCP","66","50002 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"3","0.000300","192.168.1.105","10.0.0.1","TCP","66","50003 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"4","0.000450","192.168.1.105","10.0.0.1","TCP","66","50004 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"5","0.000600","192.168.1.105","10.0.0.1","TCP","66","50005 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"6","0.000750","192.168.1.105","10.0.0.1","TCP","66","50006 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"7","0.000900","192.168.1.105","10.0.0.1","TCP","66","50007 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"8","0.001050","192.168.1.105","10.0.0.1","TCP","66","50008 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"9","0.001200","192.168.1.105","10.0.0.1","TCP","66","50009 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"10","0.001350","192.168.1.105","10.0.0.1","TCP","66","50010 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"11","0.001500","192.168.1.105","10.0.0.1","TCP","66","50011 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
"12","0.001650","192.168.1.105","10.0.0.1","TCP","66","50012 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=128 SACK_PERM"
